student_id,student_name,grade,section,region,enrollment_date,parent_contact,email,attendance_percentage
1000,Vihaan Sharma,Grade 6,A,East Delhi,2025-04-03,9339670711,student1000@dumroo.edu,79
1001,Vihaan Mittal,Grade 6,A,North Delhi,2024-10-08,9553035110,student1001@dumroo.edu,76
1002,Aarav Verma,Grade 6,A,South Delhi,2025-04-09,9642621108,student1002@dumroo.edu,94
1003,Aarav Mittal,Grade 6,A,South Delhi,2024-09-08,9853041955,student1003@dumroo.edu,92
1004,Pihu Singh,Grade 6,A,West Delhi,2024-10-09,9398704996,student1004@dumroo.edu,75
1005,Reyansh Jain,Grade 6,A,East Delhi,2025-03-17,9266944844,student1005@dumroo.edu,81
1006,Anaya Verma,Grade 6,A,North Delhi,2025-01-24,9203848421,student1006@dumroo.edu,86
1007,Aadhya Saxena,Grade 6,A,East Delhi,2025-07-15,9883543540,student1007@dumroo.edu,89
1008,Anvi Verma,Grade 6,A,West Delhi,2025-06-27,9692749116,student1008@dumroo.edu,84
1009,Khushi Agarwal,Grade 6,A,Central Delhi,2025-04-30,9856528252,student1009@dumroo.edu,77
1010,Vivaan Singh,Grade 6,A,East Delhi,2025-06-27,9349957310,student1010@dumroo.edu,78
1011,Diya Kumar,Grade 6,A,West Delhi,2024-09-15,9995619255,student1011@dumroo.edu,86
1012,Reyansh Agarwal,Grade 6,A,East Delhi,2025-04-21,9819595113,student1012@dumroo.edu,83
1013,Aditya Saxena,Grade 6,A,South Delhi,2024-11-06,9882893941,student1013@dumroo.edu,82
1014,Reyansh Bansal,Grade 6,A,West Delhi,2025-03-21,9787194506,student1014@dumroo.edu,97
1015,Anvi Singh,Grade 6,A,East Delhi,2025-07-09,9345938494,student1015@dumroo.edu,76
1016,Anaya Jain,Grade 6,A,East Delhi,2025-07-04,9326541099,student1016@dumroo.edu,93
1017,Anaya Singh,Grade 6,A,West Delhi,2025-01-16,9790256940,student1017@dumroo.edu,89
1018,Arjun Kumar,Grade 6,A,South Delhi,2025-04-02,9899925830,student1018@dumroo.edu,92
1019,Anvi Kumar,Grade 6,A,Central Delhi,2024-12-30,9726563708,student1019@dumroo.edu,87
1020,Aadhya Singh,Grade 6,A,South Delhi,2024-11-19,9629908599,student1020@dumroo.edu,77
1021,Vivaan Verma,Grade 6,A,South Delhi,2024-09-19,9271779360,student1021@dumroo.edu,96
1022,Pihu Saxena,Grade 6,A,North Delhi,2025-01-21,9509760584,student1022@dumroo.edu,94
1023,Prisha Mittal,Grade 6,A,East Delhi,2024-10-27,9112327652,student1023@dumroo.edu,96
1024,Vihaan Mittal,Grade 6,A,East Delhi,2024-09-12,9465260635,student1024@dumroo.edu,78
1025,Shaurya Jain,Grade 6,A,South Delhi,2024-12-17,9103484630,student1025@dumroo.edu,98
1026,Ishaan Mittal,Grade 6,A,South Delhi,2024-11-20,9214257751,student1026@dumroo.edu,95
1027,Shaurya Mittal,Grade 6,A,Central Delhi,2025-04-27,9264109919,student1027@dumroo.edu,86
1028,Reyansh Mittal,Grade 6,A,Central Delhi,2025-08-06,9743111853,student1028@dumroo.edu,85
1029,Inaya Sharma,Grade 6,A,North Delhi,2025-02-02,9992994062,student1029@dumroo.edu,84
1030,Vivaan Singh,Grade 6,B,Central Delhi,2025-06-27,9191969690,student1030@dumroo.edu,98
1031,Inaya Verma,Grade 6,B,Central Delhi,2025-06-03,9237859287,student1031@dumroo.edu,96
1032,Inaya Mittal,Grade 6,B,South Delhi,2025-03-24,9666585408,student1032@dumroo.edu,94
1033,Pihu Singh,Grade 6,B,Central Delhi,2025-04-26,9865523129,student1033@dumroo.edu,84
1034,Diya Agarwal,Grade 6,B,West Delhi,2024-11-15,9584779555,student1034@dumroo.edu,78
1035,Krishna Singh,Grade 6,B,North Delhi,2025-02-14,9122585366,student1035@dumroo.edu,93
1036,Anvi Singh,Grade 6,B,Central Delhi,2025-04-16,9107721109,student1036@dumroo.edu,77
1037,Vivaan Singh,Grade 6,B,North Delhi,2025-07-21,9454794895,student1037@dumroo.edu,77
1038,Riya Singh,Grade 6,B,East Delhi,2024-12-01,9330035022,student1038@dumroo.edu,92
1039,Arjun Saxena,Grade 6,B,Central Delhi,2024-12-07,9360916298,student1039@dumroo.edu,90
1040,Pihu Singh,Grade 6,B,North Delhi,2025-06-18,9807577342,student1040@dumroo.edu,88
1041,Aadhya Jain,Grade 6,B,West Delhi,2024-12-10,9882839238,student1041@dumroo.edu,76
1042,Vihaan Sharma,Grade 6,B,West Delhi,2025-02-14,9959629660,student1042@dumroo.edu,78
1043,Krishna Singh,Grade 6,B,South Delhi,2024-11-05,9581695135,student1043@dumroo.edu,79
1044,Pihu Gupta,Grade 6,B,East Delhi,2024-12-13,9368227631,student1044@dumroo.edu,77
1045,Prisha Mittal,Grade 6,B,North Delhi,2025-07-12,9800235246,student1045@dumroo.edu,92
1046,Aarav Verma,Grade 6,B,South Delhi,2025-05-13,9536383774,student1046@dumroo.edu,90
1047,Inaya Singh,Grade 6,B,West Delhi,2025-07-07,9276777762,student1047@dumroo.edu,87
1048,Aarav Jain,Grade 6,B,East Delhi,2024-12-17,9406284028,student1048@dumroo.edu,88
1049,Anvi Bansal,Grade 6,B,South Delhi,2025-05-01,9418587604,student1049@dumroo.edu,81
1050,Vivaan Saxena,Grade 6,B,Central Delhi,2025-07-06,9903132646,student1050@dumroo.edu,85
1051,Vivaan Sharma,Grade 6,B,Central Delhi,2024-12-05,9639931481,student1051@dumroo.edu,91
1052,Reyansh Sharma,Grade 6,B,Central Delhi,2025-06-26,9299528037,student1052@dumroo.edu,77
1053,Khushi Verma,Grade 6,B,South Delhi,2025-01-12,9228727266,student1053@dumroo.edu,93
1054,Krishna Saxena,Grade 6,B,Central Delhi,2025-07-17,9765055833,student1054@dumroo.edu,77
1055,Pihu Saxena,Grade 6,B,Central Delhi,2024-11-12,9439699535,student1055@dumroo.edu,83
1056,Anaya Singh,Grade 6,C,East Delhi,2025-01-16,9240529481,student1056@dumroo.edu,96
1057,Shaurya Bansal,Grade 6,C,East Delhi,2025-06-30,9110002396,student1057@dumroo.edu,89
1058,Khushi Saxena,Grade 6,C,North Delhi,2025-06-30,9677280546,student1058@dumroo.edu,81
1059,Riya Kumar,Grade 6,C,South Delhi,2025-02-09,9173864104,student1059@dumroo.edu,82
1060,Aadhya Kumar,Grade 6,C,South Delhi,2024-12-25,9995226828,student1060@dumroo.edu,92
1061,Shaurya Saxena,Grade 6,C,Central Delhi,2025-08-02,9817112652,student1061@dumroo.edu,92
1062,Shaurya Verma,Grade 6,C,South Delhi,2025-03-24,9223940587,student1062@dumroo.edu,78
1063,Anvi Gupta,Grade 6,C,East Delhi,2025-03-15,9749431082,student1063@dumroo.edu,81
1064,Anaya Singh,Grade 6,C,East Delhi,2024-11-21,9624557080,student1064@dumroo.edu,83
1065,Vivaan Verma,Grade 6,C,West Delhi,2025-03-18,9147337803,student1065@dumroo.edu,75
1066,Anaya Gupta,Grade 6,C,East Delhi,2025-05-16,9895890631,student1066@dumroo.edu,89
1067,Anvi Jain,Grade 6,C,Central Delhi,2025-08-02,9220123666,student1067@dumroo.edu,77
1068,Arjun Mittal,Grade 6,C,North Delhi,2025-01-29,9725464884,student1068@dumroo.edu,92
1069,Arjun Jain,Grade 6,C,South Delhi,2025-07-16,9430989881,student1069@dumroo.edu,86
1070,Vivaan Agarwal,Grade 6,C,South Delhi,2025-04-01,9816114302,student1070@dumroo.edu,78
1071,Aadhya Mittal,Grade 6,C,West Delhi,2024-09-23,9904745462,student1071@dumroo.edu,79
